Index,CompanyName,GlobalTrafficRank,City,Country,Area,State,UID,ZipCode,permalink
0,Prosper Marketplace,,San Francisco,United States,US-West,California,4c8d775450b1a1653dfea5d62877bbb6,94105,prosper
1,Zooomr,,San Francisco,United States,,California,750a84d378c78e3a970ff66e62626ff3,,zooomr
2,Partech,,Paris,France,WEM,Ile-de-France,7475db4336a9414df7a9b92b78bae47b,75008,partech
3,PBworks,,San Mateo,United States,US-West,California,0e1154acb634ed9a8760f121ae6ada61,94402,pbworks
4,Vast,,San Francisco,United States,US-West,California,610de27555cbbcc9730a4d9b8923907a,94108,vast
5,Genius,,Brooklyn,United States,,New York,22034eb9387ec9a4fb6f2838fe3d1987,,genius-com
6,DOmedia,,Columbus,United States,US-Central,Ohio,2faf0cde35cd99f0e10868970b61c310,43215,domedia
7,Brightspark Ventures,,Montréal,Canada,Canada,Quebec,485bb807c1728e1f437696ec121b2adc,H3B 0E7,brightspark-ventures
8,Rebtel,,Stockholm,Sweden,Nordics,Stockholms Lan,8ad68725eea5fc6376586b8730ffeb85,11144,rebtel
9,Fandom,,San Francisco,United States,US-West,California,e84e93eaa32fcc22e3d8a44fe89764f8,94107,wikia
