Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
7681,Matic Insurance,,51 - 100,7.0,3,0.0,venture_unknown,Late Stage Venture,1.0,1565799.0,crunchbase,Sherman Oaks,United States,,,,MTech Capital,,California,1f9770f4246cedb774b3b882b9274040,,matic-insurance
7682,PamBio,,1 - 10,7.0,1,7.0,venture_a,Early Stage Venture,,,crunchbase,Nazareth Illit,Israel,Israel,,,,,HaZafon,b81fa6d6e104330cdd102eab10ab9e6b,17111,pambio
7683,Rubicon Organics,,,9.001793,1,9.001793,venture_unknown,Late Stage Venture,,3448952.0,crunchbase,Vancouver,Canada,Canada,,,,,British Columbia,313f9c3b89c10eccecc94a328fa5ba73,V6C 1A5,rubicon-organics
7684,Remedee Labs,,1 - 10,12.0,1,12.0,venture_a,Early Stage Venture,5.0,,crunchbase,Grenoble,France,WEM,,,C4 Ventures;Habert Dassault Finance;Supernova Invest;Partech;Hardware Club,,Rhone-Alpes,592ca3d91bcb4b86c59e0c1b1e2d6cda,38054,remedee
7685,Vittude,,1 - 10,1.27001,3,1.072501,venture_unknown,Late Stage Venture,1.0,43719.0,crunchbase,São Paulo,Brazil,Latam South,['Vittude'],,Redpoint eventures,,Sao Paulo,2957f84831d026c748e22fe65844975d,04516-010,vittude
7686,Rapidoo,,1 - 10,0.0,2,0.0,venture_unknown,Late Stage Venture,2.0,1243411.0,crunchbase,São Paulo,Brazil,Latam South,"['Rapidoo Serviços de Tecnologia', 'Rapidoo - Factoring Online']",,FundersClub;Global Founders Capital,,Sao Paulo,c53d858157067e54d675f892818a3044,05422-030,rapidoo
7687,Cadenza Innovation,,11 - 50,16.3,3,10.8,venture_a,Early Stage Venture,,8266011.0,crunchbase,Bethel,United States,US-East,,New York,,,Connecticut,2b08aa0fc00bd2057a99a655244f9e62,06801,cadenza-innovation
7688,Mobidiag,,51 - 100,74.050525,9,11.350171,venture_unknown,Late Stage Venture,1.0,5397311.0,crunchbase,Espoo,Finland,Nordics,,,Autobio Diagnostics,,Southern Finland,136a6320fbe98e3a5ff8151eb91b59e0,02150,mobidiag
7689,Vention,,11 - 50,15.635939000000002,4,12.819208,venture_a,Early Stage Venture,4.0,499193.0,crunchbase,Montréal,Canada,Canada,,,Real Ventures;Bain Capital Ventures;Bolt;White Star Capital,,Quebec,43546d09521425fb3345bf1705c35024,H4C 1L8,vention
7690,OpenDoor Trading,,11 - 50,32.0,4,10.0,venture_a,Early Stage Venture,,14682462.0,crunchbase,Jersey City,United States,US-East,,New Jersey,,,New Jersey,5c8843598eaff70a8f765d79f5022943,07310,opendoor-trading
7691,Ocee Design,,101 - 250,13.265274,1,13.265274,venture_unknown,Late Stage Venture,1.0,3791687.0,crunchbase,Northampton,United Kingdom,UK&I,,,Business Growth Fund,,Northamptonshire,6cbef031d1ea12c7d22e8a0ea0b87efa,NN4 7PW,ocee-design
7692,Sagacito Technologies,,11 - 50,10.0,1,10.0,venture_unknown,Late Stage Venture,1.0,1721491.0,crunchbase,New Delhi,India,India,,,Star India Pvt Ltd,,Delhi,83685505b81a0fbebbde4e4e9622ab9a,110048,sagacito-technologies
7693,VFinance,,501 - 1000,10.0,1,10.0,venture_b,Early Stage Venture,1.0,24157128.0,crunchbase,Boca Raton,United States,US-Central,,Florida,Yunqi Partners,,Florida,ff4d630e1c996b33623a6b76e6c17d83,33432,vfinance
7694,Cashify.in,,101 - 250,13.0,4,12.0,venture_c,Late Stage Venture,5.0,68518.0,crunchbase,Gurgaon,India,India,['ReGlobe'],,Bessemer Venture Partners;CDH Investments;Aihuishou;Morningside Group;Shunwei Capital,,Haryana,e939ea6ef362b0d7d4770b5be4231e2d,122003,cashify-in
7695,40South Energy,,11 - 50,2.39936,2,2.39936,venture_unknown,Late Stage Venture,2.0,23140050.0,crunchbase,London,United Kingdom,UK&I,,,Invitalia Ventures;Enel Green Power,,England,ac0b910cf27bac3ead7883563db5d512,w1s1ht,40south-energy
7696,iPug,,1 - 10,2.0,2,0.0,venture_a,Early Stage Venture,1.0,,crunchbase,San Francisco,United States,US-West,,Northern California,,"Beckett, Zane",California,66b37d8b03921900286723c4eafc7d28,94103,ipug
7697,Mondo Ride,,51 - 100,5.0,1,5.0,venture_unknown,Late Stage Venture,,,crunchbase,Nairobi,Kenya,Africa,,,,,Nairobi Area,576f38e429132c7341644379cadeb2ce,,mondo-ride
7698,NiYO Solutions,,11 - 50,49.2,3,35.0,venture_b,Early Stage Venture,3.0,400514.0,crunchbase,Bangalore,India,India,,,Horizons Ventures;JSCapital;Tencent Holdings,,Karnataka,6c579c1b47ff3ae94c7ed5e4e2a35af6,560066,niyo-solutions
7699,Blue Cedar,,11 - 50,27.0,3,17.0,venture_b,Early Stage Venture,5.0,3521660.0,crunchbase,San Francisco,United States,US-West,,Northern California,C5 Capital;Sway Ventures;Benhamou Global Ventures;Grayhawk Capital;Generation Ventures,,California,03cbab55f97eef604b4b22fda2786723,94111,blue-cedar-networks
7700,HemoShear Therapeutics,,11 - 50,11.745,5,0.0,venture_unknown,Late Stage Venture,,16236159.0,crunchbase,Charlottesville,United States,US-East,,Mid-Atlantic,,,Virginia,4341c748144e54b9d2d288c7d244155a,22902,hemoshear-therapeutics
7701,Volunteer Vision,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,3830907.0,crunchbase,Munich,Germany,GSA,,,BonVenture,,Bayern,6200ccc4c0dbffbdda7c292e33a1f97f,80799,volunteer-vision-gmbh
7702,Pathmatics,,51 - 100,7.7,4,3.0,venture_a,Early Stage Venture,2.0,1933663.0,crunchbase,Santa Monica,United States,US-West,,Greater Los Angeles,Manatt Venture Fund;BDMI,,California,bebc41c69f4410aeb5300d83b24dfc8b,90401,pathmatics
7703,Teamworks,,51 - 100,21.315018,2,15.315017999999998,venture_b,Early Stage Venture,,1560234.0,crunchbase,Durham,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",,,North Carolina,67b35d6c922a36debe10546b84014224,27701,teamworks
7704,Advanced Enzymes,,251 - 500,34.384295,2,18.306311,venture_unknown,Late Stage Venture,5.0,3324696.0,crunchbase,Thane,India,India,,,L&T Mutual Fund;Kuwait Investment Authority;DB International;DSP Blackrock;Tata AIA Life Insurance Company,,Maharashtra,ad9818db8e0fd197e9d48a9a789a57ca,400 604,advanced-enzymes
