Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
12900,Minsar,,11 - 50,3.718702,2,3.324752,venture_unknown,Late Stage Venture,1.0,,crunchbase,Paris,France,WEM,"['Minsar By Opuscope, Minsar Create']",,Bievre Epargne,,Ile-de-France,c0ac8db400ec552cecf93bca978ee82b,,mindsight
12901,Brighter AI Technologies,,11 - 50,0.7800630000000001,4,0.0,venture_unknown,Late Stage Venture,2.0,,crunchbase,Berlin,Germany,GSA,['Brighter AI'],,eCAPITAL ENTREPRENEURIAL PARTNERS;Giesecke+Devrient Ventures,,Berlin,f970878b6401fb93f2ca970da5c3f845,10437,brighter-ai-technologies
12902,Fluidly,,11 - 50,15.481978,3,6.507502,venture_a,Early Stage Venture,5.0,,crunchbase,London,United Kingdom,UK&I,,,Nyca Partners;Anthemis Group;Octopus Ventures,"Songhurst, Charlie;Murdoch, Simon",England,493695f3b2874437033c6eddc2294251,WC1V 7DA,fluidly
12903,Cloudify,,51 - 100,7.0,1,7.0,venture_a,Early Stage Venture,3.0,,crunchbase,Herzliya,Israel,Israel,,,VMware;KPN Ventures;CE Ventures (CEIIF),,Tel Aviv,de79a24558696d432b9defc27bc97de8,,cloudify-co
12904,Bookwell,,11 - 50,5.526944,3,1.25,venture_unknown,Late Stage Venture,4.0,,crunchbase,Sydney,Australia,Oceania,,,,"Leibovich, Gabby;Leibovich, Hezi;Schwab, Adam;Same, Jeremy",New South Wales,ab0cd4fd8a933f2aa8f4eb4377d3d107,,bookwell
12905,Expanesthetics,,,3.0,1,3.0,venture_unknown,Late Stage Venture,,,crunchbase,Davis,United States,,,,,,California,882377980cd95efe80e140dce5495bb2,CA 95616,expanesthetics
12906,ParentSquare,,,4.172569,3,3.0,venture_unknown,Late Stage Venture,,,crunchbase,Goleta,United States,US-West,,Greater Los Angeles,,,California,cca0c5dd0bed3d518ffd9d3a2e06a0e7,93101,parentsquare
12907,Domotron,,11 - 50,1.86449,2,1.00741,venture_a,Early Stage Venture,1.0,,crunchbase,Prague,Czech Republic,CESA,,,Bohemia Venture Capital,,Hlavni mesto Praha,6e353e0dd803f12cd491b36aa5854f63,110 00,domotron
12908,Lyric Financial,,,1.778007,1,1.778007,venture_unknown,Late Stage Venture,,,crunchbase,Nashville,United States,,,,,,Tennessee,5b4d69c824d22faadfe94d2e98524b12,,lyric-financial
12909,Viseon Spine,,,23.0,2,18.0,venture_b,Early Stage Venture,3.0,,crunchbase,Irvine,United States,US-West,,Pacific Southwest (Orange County and San Diego),HBM-MedFocus;Invus;Wexford Capital,,California,7742c990126fe60dbe2aff536c70f3d7,92618,viseon-spine
12910,Fidmi Medical,,1 - 10,2.053143,2,2.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Misgav,Israel,Israel,,,B. Braun Medical,,HaZafon,22863985656ed5f02596fb01a3796bf5,2017400,fidmi-medical
12911,POS Bio-Sciences,,101 - 250,2.5,1,2.5,venture_unknown,Late Stage Venture,,,crunchbase,Saskatoon,Canada,Canada,,,,,Saskatchewan,02f82b514e222583072e71c7feed471c,,pos-bio-sciences
12912,Drift,,251 - 500,107.0,3,60.0,venture_c,Late Stage Venture,3.0,,crunchbase,Boston,United States,,,,CRV;Sequoia Capital;General Catalyst,,Massachusetts,e3da0e937e3a259163164e63eeb95d47,02116-6503,drift
12913,WRLD,,51 - 100,5.0,1,5.0,venture_unknown,Late Stage Venture,2.0,,crunchbase,London,United Kingdom,UK&I,['eegeo '],,Initial Capital;NetSol Technologies,,England,f560ce7f08b81dc302b6cb07c6f4d2c4,NI 7GU,wrld
12914,Datavant,,11 - 50,40.5,1,40.5,venture_unknown,Late Stage Venture,5.0,,crunchbase,San Francisco,United States,,,,Founders Fund;SoftBank Vision Fund;Roivant Sciences,"Chavez, Tom;May, Travis",California,63811579d58a573916d4c191df1d2709,,datavant
12915,Efinix,,,9.5,1,9.5,venture_unknown,Late Stage Venture,5.0,,crunchbase,Santa Clara,United States,US-West,,Northern California,Brizan Investments;Hong Kong Inno Capital;Hong Kong X-Tech;Xilinx;Samsung Ventures,,California,d9657e4ce762a4288a194229f939a61f,95050,efinix
12916,Tradezby,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Las Vegas,United States,US-West,,Greater Los Angeles,Fusion Fund,,Nevada,6cc94bcdcc34dfefe2bf480a39e3a19c,89148,tradezby
12917,Saptalis Pharmaceuticals,,,9.5,2,6.5,venture_unknown,Late Stage Venture,,,crunchbase,Hauppauge,United States,US-East,,New York,,,New York,ddf2b3fbbcfd3ef42a03c1493fe3735a,11788,saptalis-pharmaceuticals
12918,myUpchar,,1 - 10,5.305181,2,5.0,venture_a,Early Stage Venture,3.0,,crunchbase,New Delhi,India,India,['Doctorvahini '],,Omidyar Network;Nexus Venture Partners;Shunwei Capital,,Delhi,902808516160ce6e1824a92a9b21e715,,myupchar
12919,Persistence Data Mining,,1 - 10,0.0,2,0.0,venture_unknown,Late Stage Venture,2.0,,crunchbase,La Jolla,United States,US-West,"['PDMI, Persistence Mining, Inc.']",Pacific Southwest (Orange County and San Diego),SVG THRIVE Fund;Innova Memphis,,California,811386ad10c33356e3917ac0cc8ff200,92037,persistence-data-mining
12920,EMBrace Design,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Memphis,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",Innova Memphis,,Tennessee,edfbe6e14f73c11748765b55247896f4,38103,embrace-design
12921,MedHaul,,1 - 10,0.0,2,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Memphis,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",Innova Memphis,,Tennessee,438496015d8ec2bcf8fc4f5dd6470783,38103,medhaul
12922,Alwaz.Pro,,,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Memphis,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",Innova Memphis,,Tennessee,32aa193ff59981c390a3b8edb44ab762,38103,alwaz-pro
