Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
27365,Kizy Tracking,,11 - 50,0.0,2,0.0,venture_a,Early Stage Venture,1.0,5442000.0,crunchbase,Neuchâtel,Switzerland,GSA,,,,"Ovaskainen, Jari",Neuchatel,98744b978ba7eced9aef93f38dc7aa77,2000,kizy-tracking
27366,TetraScience,,11 - 50,8.145,6,8.0,venture_a,Early Stage Venture,6.0,,crunchbase,Boston,United States,US-East,,New England,Underscore VC;First Round Capital;Y Combinator;Waters Corporation;Founder Collective;Floodgate,,Massachusetts,e22f47cf3d43648540a2d08aa4a6989b,02108,tetrascience-inc-
27367,Mad Street Den,,101 - 250,4.1675,5,0.0,venture_unknown,Late Stage Venture,1.0,2540434.0,crunchbase,Redwood City,United States,US-West,,Northern California,Startup Equity Partners,,California,e8c2f779302a6f2f6c240f1360f8b672,94063,mad-street-den
27368,Blanco Nino,,,0.5260739999999999,3,0.0,venture_unknown,Late Stage Venture,1.0,31033978.0,crunchbase,London,United Kingdom,UK&I,,,Enterprise Ireland,,England,299218600a5115c72c9b2fc21a2d5926,EC1V 4PW,blanco-nino
27369,HOOQ,,101 - 250,95.0,2,25.0,venture_unknown,Late Stage Venture,3.0,23205.0,crunchbase,Singapore,Singapore,Asean,['HOOQ DIGITAL '],,Warner Bros.;Singtel;Sony Pictures Entertainment,,Central Region,309af9ec8d196c58e9b1543d852090b1,,hooq
27370,Medyria,,1 - 10,6.3451629999999986,3,3.941055,venture_b,Early Stage Venture,1.0,14299189.0,crunchbase,Winterthur,Switzerland,GSA,,,investiere | Verve Capital Partners,,Zurich,8c00426ac6e77899f293c6d64d8b691f,8406,medyria
27371,MPIRICA Health Analytics,,1 - 10,6.6,3,4.6,venture_a,Early Stage Venture,1.0,6066546.0,crunchbase,Bellevue,United States,US-West,,Pacific Northwest,OurCrowd First,,Washington,9dcba7208c349fdb9aded9d50ddb4971,98005,mpirica-health-analytics
27372,Kinematics,,11 - 50,4.032828,2,2.666667,venture_unknown,Late Stage Venture,2.0,,crunchbase,Bernau,Germany,GSA,['Tinkerbots'],,Brandenburg Kapital;KOLBE,,Brandenburg,ec400e39da06edd946b7434053211a4d,16321,kinematics
27373,Media4Care,,11 - 50,0.0,3,0.0,venture_unknown,Late Stage Venture,1.0,6160841.0,crunchbase,Berlin,Germany,GSA,['Media Dementia'],,IBB Beteiligungsgesellschaft,,Berlin,3a9f17f4961b5fe77a1454999e49292e,12059,media4care
27374,Enov8,,11 - 50,0.0,1,0.0,venture_a,Early Stage Venture,,4186118.0,crunchbase,Sydney,Australia,Oceania,,,,,New South Wales,ab80a333807e6003ecac02c7dac23489,2000,enov8
27375,Skopenow,,11 - 50,3.985752,4,2.5,venture_unknown,Late Stage Venture,3.0,2143684.0,crunchbase,New York,United States,US-East,,New York,Runway Venture Partners;MS&AD Ventures;Colle Capital Partners,,New York,90e8b1d1da60a2b2aa3be28718023461,10017,skopenow
