Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
14981,I-Fitness,,,0.0,1,0.0,venture_a,Early Stage Venture,2.0,1365528.0,crunchbase,Shanghai,China,Greater China,,,Ivy Capital;Agile Fund,,Shanghai,be6e195b5e554ba695c47aea6977ccd8,,i-fitness
14982,Metaboards,,11 - 50,5.0,1,5.0,venture_a,Early Stage Venture,3.0,18857861.0,crunchbase,Oxford,United Kingdom,UK&I,,,Woodford Investment Management;Rt Capital Management;Oxford Sciences Innovation,,Oxfordshire,007d658b9f2c48ee9eafa99aa64014cf,OX1 1HU,metaboards
14983,MIRROR,,,74.75,4,34.0,venture_b,Early Stage Venture,8.0,86790.0,crunchbase,New York,United States,,['Curiouser Products '],,LionTree Partners;Lululemon;Spark Capital;Point72 Ventures;Lerer Hippeau,"Huvane, Kevin;Kloss, Karlie;Lockshin, Steve",New York,f36b6e3fab5d4755b6f2012cb747439a,,mirror-439a
14984,Gitty,,1 - 10,2.0,2,1.5,venture_a,Early Stage Venture,,,crunchbase,Austin,United States,US-West,,Central Texas,,,Texas,e16b804d5f304ed4849feb550b5a0e90,78705,gitty
14985,Just,,101 - 250,220.0,6,750.0,venture_d,Late Stage Venture,,3981588.0,crunchbase,San Francisco,United States,US-West,['Hampton Creek '],Northern California,,,California,8b85645fd31f4852b75d59ec490ca7b9,94110,just-inc
14986,xtraCHEF,,11 - 50,10.5,2,7.5,venture_a,Early Stage Venture,3.0,1065603.0,crunchbase,New York,United States,US-East,,Greater Philadelphia,MVP Capital;Laconia;ValueStream Ventures,,New York,016321a5d291480a8e14624011a5b997,19017,xtrachef
14987,OncoQuest,,,19.03,2,6.03,venture_unknown,Late Stage Venture,1.0,15069683.0,crunchbase,Edmonton,Canada,Canada,,,Hepalink,,Alberta,f56932e18b5a4d81bfdd7537c943fadf,T6E 6S4,oncoquest
14988,SnapClarity,,1 - 10,1.5,2,0.0,venture_unknown,Late Stage Venture,1.0,15568313.0,crunchbase,Kanata,Canada,Canada,,,Relentless Pursuit Partners,,Ontario,0001a8cc0cdc4a30b4d3da1b425069e1,K2M 0J1,snapclarity
14989,FUSION Foundation,,11 - 50,110.0,2,0.0,venture_unknown,Late Stage Venture,1.0,2348008.0,crunchbase,Singapore,Singapore,Asean,,,BlockWater Management,,Central Region,24ecbec39fb74101b030acda69d215c3,,fusion-foundation
14990,Xoc Pharmaceuticals,,,30.0,1,30.0,venture_a,Early Stage Venture,1.0,25048730.0,crunchbase,Los Gatos,United States,US-West,,Northern California,New Enterprise Associates,,California,47863de84b5b4531a2b239e983e13bae,95032,xoc-pharmaceuticals
14991,Another Brain,,11 - 50,37.192201,3,20.777448,venture_a,Early Stage Venture,2.0,3297783.0,crunchbase,Paris,France,WEM,,,Daphni;Alpha Intelligence Capital,,Ile-de-France,7485ebc3d5f544d39244628150dcbced,75002,another-brain
14992,Pharmaceutical Management Agency (PHARMAC),,101 - 250,0.0,1,0.0,venture_unknown,Late Stage Venture,,956772.0,crunchbase,Wellington,New Zealand,Oceania,,,,,Wellington,b546443cf5b24abd95bc5b12598f8968,6011,pharmac
14993,Joveo,,51 - 100,5.0,1,5.0,venture_a,Early Stage Venture,1.0,224895.0,crunchbase,Redwood City,United States,US-West,,Northern California,Nexus Venture Partners,,California,cbf4908ede1140439529cc3aec8baf7a,94062,joveo
14994,Conelec Electronic Manufacturing,,51 - 100,7.3,3,2.0,venture_unknown,Late Stage Venture,,,crunchbase,Florida,United States,US-Central,,Florida,,,New York,fe6e5bfbaa424b26afa18aca8d8de3e8,32724,conelec-electronic-manufacturing
14995,Advance International,,1 - 10,3.683004,2,1.683,venture_unknown,Late Stage Venture,,31301833.0,crunchbase,Livermore,United States,US-West,,Northern California,,,California,c511b65da778442891f51f864baa8ef0,94551,advance-international
14996,Nanox Imaging,,11 - 50,26.0,1,26.0,venture_unknown,Late Stage Venture,3.0,3004010.0,crunchbase,Gibraltar,Gibraltar,UK&I,,,FUJIFILM;SK Telecom;Foxconn Technology Group,,Gibraltar,8160379beded42809d7df463663adc83,111AA,nanox-imaging
