Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
0,Prosper Marketplace,,251 - 500,415.455497,10,0.0,venture_unknown,Late Stage Venture,1.0,41559.0,crunchbase,San Francisco,United States,US-West,['Prosper'],Northern California,Eight Roads Ventures,,California,4c8d775450b1a1653dfea5d62877bbb6,94105,prosper
1,Zooomr,,101 - 250,0.05,2,0.0,venture_unknown,Late Stage Venture,1.0,4529777.0,crunchbase,San Francisco,United States,,,,Brand Labs,,California,750a84d378c78e3a970ff66e62626ff3,,zooomr
2,Partech,,101 - 250,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,1230592.0,crunchbase,Paris,France,WEM,['Partech Partners'],,L'Oreal,,Ile-de-France,7475db4336a9414df7a9b92b78bae47b,75008,partech
3,PBworks,,11 - 50,15.093711,9,1.749995,venture_unknown,Late Stage Venture,,28689.0,crunchbase,San Mateo,United States,US-West,['PBWIKI '],Northern California,,,California,0e1154acb634ed9a8760f121ae6ada61,94402,pbworks
4,Vast,,101 - 250,14.0,2,14.0,venture_b,Early Stage Venture,2.0,199681.0,crunchbase,San Francisco,United States,US-West,,Northern California,Capital One Growth Ventures,"Shergill, Jaidev",California,610de27555cbbcc9730a4d9b8923907a,94108,vast
5,Genius,,51 - 100,71.9,5,15.0,venture_unknown,Late Stage Venture,1.0,379.0,crunchbase,Brooklyn,United States,,"['Genius Media Group', 'Genius.com', 'Rap Genius']",,Everblue Management,,New York,22034eb9387ec9a4fb6f2838fe3d1987,,genius-com
6,DOmedia,,11 - 50,5.846489,3,3.0,venture_a,Early Stage Venture,2.0,3061204.0,crunchbase,Columbus,United States,US-Central,,East Central,Ohio Innovation Fund;Advantage Capital,,Ohio,2faf0cde35cd99f0e10868970b61c310,43215,domedia
7,Brightspark Ventures,,1 - 10,56.0,2,6.0,venture_unknown,Late Stage Venture,1.0,6184963.0,crunchbase,Montréal,Canada,Canada,,,Kensington Capital Partners Limited,,Quebec,485bb807c1728e1f437696ec121b2adc,H3B 0E7,brightspark-ventures
8,Rebtel,,51 - 100,28.0,2,8.0,venture_b,Early Stage Venture,2.0,80170.0,crunchbase,Stockholm,Sweden,Nordics,,,Balderton Capital;Index Ventures,,Stockholms Lan,8ad68725eea5fc6376586b8730ffeb85,11144,rebtel
9,Fandom,,251 - 500,145.44318,7,106.44318,venture_e,Late Stage Venture,1.0,59.0,crunchbase,San Francisco,United States,US-West,['Wikia'],Northern California,TPG Growth,,California,e84e93eaa32fcc22e3d8a44fe89764f8,94107,wikia
10,MindTouch,,101 - 250,12.0,1,12.0,venture_a,Early Stage Venture,3.0,1952395.0,crunchbase,San Diego,United States,US-West,,Pacific Southwest (Orange County and San Diego),PeakSpan Capital;SAP Startup Focus;SK Ventures,,California,9d065cf7f6190f424b98b4733c0fa26d,92101,mindtouch
11,MobiTV,,251 - 500,213.798999,9,50.0,venture_unknown,Late Stage Venture,3.0,1772920.0,crunchbase,Emeryville,United States,US-West,['Idetic'],Northern California,Ally Financial;Cedar Grove Investments;Oak Investment Partners,,California,89a3d976269586fb1e2bfa0e46517639,94608,mobitv
12,Zopa,,251 - 500,464.542302,10,167.860846,venture_h,Late Stage Venture,1.0,76043.0,crunchbase,London,United Kingdom,UK&I,,,IAG Capital Partners,,England,5856247991c5bcea5aeb80b3698a87f5,SE1 2QG,zopa
13,Ripl,,11 - 50,6.78,5,2.85,venture_unknown,Late Stage Venture,2.0,193959.0,crunchbase,Bellevue,United States,US-West,['f/k/a Fanzo'],Pacific Northwest,Alliance of Angels;Trilogy Equity Partners,,Washington,e7e62164a0b3e613b0df5a8c4ed821f9,98004,ripl
14,Zocdoc,,501 - 1000,223.0,7,0.0,venture_d,Late Stage Venture,1.0,11218.0,crunchbase,New York,United States,US-East,,New York,eBrands.vc,,New York,24d3bda648ffa9ad77379e090d686786,10012,zocdoc
15,Cubic Telecom,,101 - 250,122.378392,8,12.344857,venture_unknown,Late Stage Venture,1.0,953700.0,crunchbase,Dublin,Ireland,UK&I,,,Act Venture Capital,,Dublin,73f1c5ce0df89f47808fd85d8c8a7514,18,cubictelecom
16,HealthCare.com,,11 - 50,27.27,2,18.0,venture_b,Early Stage Venture,3.0,83696.0,crunchbase,Miami,United States,US-Central,,Florida,Axis Capital;Second Alpha Partners;CNO Financial Group,,Florida,f87be3eced9a1203e8c7b021c30a6f36,33127,healthcare-com
17,Kaltura,,501 - 1000,166.1,7,50.0,venture_f,Late Stage Venture,1.0,,crunchbase,New York,United States,US-East,,New York,Goldman Sachs,,New York,7dd26818843ad7921675b7dae4d2da2d,10003,kaltura
18,Punchbowl,,11 - 50,9.798482,7,4.0,venture_unknown,Late Stage Venture,1.0,19875.0,crunchbase,Framingham,United States,US-East,,New England,Party City,,Massachusetts,29652e3d09bd1e15f3c64848d49f68e3,01701,mypunchbowl
19,Moz,,101 - 250,29.1,3,130.0,venture_c,Late Stage Venture,1.0,17734.0,crunchbase,Seattle,United States,US-West,['SEOmoz'],Pacific Northwest,Foundry Group,,Washington,5421bcc86e4a925172bc982f5992589d,98101,moz
20,Trigence,,11 - 50,15.1,5,0.0,venture_c,Late Stage Venture,2.0,,crunchbase,Tokyo,Japan,Japan,,,Miyako Capital;Intel Capital,,Tokyo,b30012a9d09ed55cf2d16e0b779743db,101-0021,trigence
21,23andMe,,501 - 1000,786.073609,10,0.0,venture_f,Late Stage Venture,1.0,4069.0,crunchbase,Mountain View,United States,US-West,,Northern California,Nimble Ventures,,California,f93d65c711daf0850bddd54510f77a41,94041,23andme
22,Automattic,,1001 - 5000,617.3,8,3000.0,venture_d,Late Stage Venture,17.0,115189.0,crunchbase,San Francisco,United States,,,,Insight Partners;True Ventures;Radar Partners;ICONIQ Capital;Lowercase Capital;CNET Networks;Salesforce Ventures;The New York Times;eBrands.vc;Blacksmith Capital;Akkadian Ventures;Tiger Global Management;Savano Capital Partners,"Mullenweg, Matt;Sacca, Chris;Goldberg, Dave;Sheinbaum, Pete",California,190202d8f1acb380d224589e9ad79848,,automattic
23,Payoneer,,501 - 1000,270.0,10,0.0,venture_e,Late Stage Venture,1.0,6010.0,crunchbase,New York,United States,US-East,,New York,CBC Capital,,New York,b07f3c20ea159a59fdf283f6d2e9120e,10001,payoneer
24,tyntec,,101 - 250,0.0,4,0.0,venture_unknown,Late Stage Venture,1.0,781018.0,crunchbase,San Francisco,United States,US-West,,Northern California,Cipio Partners,,California,c026df0b49d18835015c60b0d192efe1,94105,tyntec
25,Ant Financial,,5001 - 10000,22000.0,4,150000.0,venture_c,Late Stage Venture,9.0,200168.0,crunchbase,Hangzhou,China,Greater China,"['Alipay', '支付宝', 'Ant Financial Services Group', '蚂蚁金服', 'Mayijin Fu']",,Warburg Pincus;The Carlyle Group;General Atlantic;Temasek Holdings;Wharton Alumni Angels;Sequoia Capital;Khazanah Nasional;Silver Lake Partners;GIC,,Zhejiang,74a20af3f4dd6188de60c4ee6cd0ca4a,310099,ant-financial
26,YourSports,,1 - 10,4.5,5,1.1,venture_unknown,Late Stage Venture,,1874154.0,crunchbase,San Mateo,United States,US-West,,Northern California,,,California,8b56df3eab8c48bdb1d4e663b3ee623b,94401,yoursports
27,uShip,,101 - 250,69.70999599999999,7,25.0,venture_d,Late Stage Venture,1.0,33728.0,crunchbase,Austin,United States,US-West,,Central Texas,DB Schenker,,Texas,a3c27b0181162fa4f60dd405f0960f89,78701,uship
28,RealSelf,,101 - 250,41.95,4,40.0,venture_b,Early Stage Venture,8.0,16203.0,crunchbase,Seattle,United States,US-West,,Pacific Northwest,Total Access Fund;Capital World Investors;Castor Ventures;Blue Ivy Ventures;Elephant;Green D Ventures;Chestnut Street Ventures;Alumni Ventures Group,,Washington,0131c0b9f01350f6e33e7d0067e80f71,98104,realself
29,Visto,,101 - 250,122.400002,8,0.0,venture_unknown,Late Stage Venture,1.0,13828461.0,crunchbase,New York,United States,US-East,"['Collective', 'Visto']",New York,Zeta Global,,New York,1ecf2a384eeef3e61bebca29ae956dce,10013,collectivemedia
30,VIX,,251 - 500,73.5,7,6.0,venture_unknown,Late Stage Venture,,3214.0,crunchbase,Coral Gables,United States,US-Central,"['Planeta Networks', 'Batanga Media']",Florida,,,Florida,a5c6b05ce4ed74b249f606611a0350a3,33134,batanga
31,eToro,,501 - 1000,222.7,10,50.0,venture_e,Late Stage Venture,2.0,2838.0,crunchbase,London,United Kingdom,UK&I,,,Bracket Capital;China Minsheng Financial Holdings,,England,ca17699b2f4991f458637216fc07a64e,E14 5AB,etoro
32,Deezer,,501 - 1000,531.773724,6,1158.553893,venture_f,Late Stage Venture,2.0,1672.0,crunchbase,Paris,France,WEM,['blogmusik'],,Orange;Kingdom Holding Company,,Ile-de-France,88ef95accde4ac9efe0629a167ba46ab,75009,deezer
33,italki,,1001 - 5000,3.0,1,3.0,venture_a,Early Stage Venture,1.0,9855.0,crunchbase,Kowloon City,Hong Kong,Greater China,['italki HK'],,Hujiang Education Technologies,,Kowloon,2db882cac2bf9bef99e14f8ec50009c9,,italki
34,iotum,,11 - 50,3.068521,3,0.41952,venture_unknown,Late Stage Venture,,16483531.0,crunchbase,Toronto,Canada,Canada,,,,,Ontario,79095a6f5767f4e762c942578b5156a4,M6C 1C3,iotum
35,Jellyvision,,251 - 500,25.0,2,20.0,venture_unknown,Late Stage Venture,1.0,1166407.0,crunchbase,Chicago,United States,US-Central,,Midwest,Updata Partners,,Illinois,684a7e013e7c84735040e5a1e7ff3b43,60642,jellyvision
36,LiquidPlanner,,101 - 250,17.426,7,2.0,venture_c,Late Stage Venture,1.0,152184.0,crunchbase,Seattle,United States,US-West,,Pacific Northwest,TVC Capital,,Washington,54366f22304f686cc1a29423845c5d8d,98102,liquidplanner
37,Autonet Mobile,,51 - 100,18.206787,6,0.5,venture_unknown,Late Stage Venture,,10484061.0,crunchbase,Santa Rosa,United States,US-West,,Northern California,,,California,766a1a544382c8033c73169905097047,95403,autonet-mobile
38,Sikka Software,,11 - 50,24.95,5,4.2,venture_d,Late Stage Venture,,1490405.0,crunchbase,San Jose,United States,US-West,,Northern California,,,California,e83aed75f8751e3980702de34aca78ed,95110,sikka-software
39,GumGum,,251 - 500,58.825,6,22.0,venture_d,Late Stage Venture,3.0,45093.0,crunchbase,Santa Monica,United States,US-West,,Greater Los Angeles,NewView Capital;Upfront Ventures;Morgan Stanley Expansion Capital,,California,b95c713106795d6ac2aca2ab801b6164,90401,gumgum
40,BuzzFeed,,1001 - 5000,496.3,8,1500.0,venture_g,Late Stage Venture,4.0,284.0,crunchbase,New York,United States,US-East,,New York,New Enterprise Associates;RRE Ventures;Hearst Ventures;NBCUniversal,,New York,ad4c44fa9ba08470cff1a574d5414886,10010,buzzfeed
41,Fnatic,,51 - 100,26.0,4,19.0,venture_a,Early Stage Venture,5.0,151179.0,crunchbase,London,United Kingdom,UK&I,,,Beringea;LVL1 Group;Unbound;BlackPine,"Ito, Joi",England,ab9658f68a436eadbfaa15c04e8da7bb,,fnatic
42,Tiny,,51 - 100,8.556999000000001,4,4.0,venture_a,Early Stage Venture,1.0,152064.0,crunchbase,Palo Alto,United States,US-West,"['Ephox', 'Moxiecode']",Northern California,BlueRun Ventures,,California,36388b032d318bb35018bd98d9a01b30,94303,ephox
43,Rocket Lawyer,,101 - 250,46.150818,5,0.0,venture_d,Late Stage Venture,1.0,14255.0,crunchbase,San Francisco,United States,US-West,,Northern California,Editions Lefebvre Sarrut,,California,bb63e3a54c7562195d7ff9d492cfcc6f,94105,rocketlawyer
44,FreshBooks,,251 - 500,75.11931700000002,3,45.119317,venture_b,Early Stage Venture,3.0,12705.0,crunchbase,Toronto,Canada,Canada,['2ndsite'],,Accomplice;Georgian Partners;Oak Investment Partners,,Ontario,a137c9b8a859adcf6f398d252821a34b,M6P 3T1,freshbooks
45,Kareo,,501 - 1000,163.188999,10,9.899,venture_unknown,Late Stage Venture,,18017.0,crunchbase,Irvine,United States,US-West,,Pacific Southwest (Orange County and San Diego),,,California,8d0ec3b1a41864ce49e7c2d2930b4a5e,92612,kareo
